numero_amostra;accel_x;accel_y;accel_z;giro_x;giro_y;giro_z
1;0.39;-0.02;0.96;119;-951;14
2;0.40;-0.01;0.96;95;-895;35
3;0.39;-0.01;0.96;101;-957;61
4;0.40;-0.02;0.96;60;-1042;60
5;0.40;-0.02;0.95;98;-1012;25
6;0.39;-0.02;0.95;94;-1018;30
7;0.39;-0.02;0.95;104;-1057;57
8;0.39;-0.02;0.95;53;-978;59
9;0.39;-0.02;0.97;117;-958;55
10;0.40;-0.02;0.96;78;-982;38
11;0.40;-0.02;0.96;77;-978;51
12;0.39;-0.02;0.95;62;-1017;77
13;0.40;-0.02;0.96;60;-1017;15
14;0.40;-0.02;0.95;90;-1029;70
15;0.40;-0.02;0.96;47;-1023;56
16;0.39;-0.02;0.96;67;-1003;68
17;0.40;-0.02;0.96;86;-1007;77
18;0.39;-0.02;0.95;80;-957;61
19;0.39;-0.02;0.96;87;-1036;25
20;0.39;-0.02;0.96;61;-1021;76
21;0.39;-0.02;0.96;103;-1026;50
22;0.40;-0.02;0.96;107;-1013;52
23;0.40;-0.01;0.95;84;-1006;64
24;0.40;-0.02;0.96;157;-1019;66
25;0.40;-0.02;0.96;77;-996;59
26;0.40;-0.02;0.96;97;-1015;46
27;0.40;-0.02;0.96;86;-1035;81
28;0.39;-0.02;0.96;71;-1007;39
29;0.40;-0.02;0.95;100;-990;26
30;0.40;-0.01;0.96;97;-1008;36
31;0.39;-0.02;0.95;71;-979;33
32;0.40;-0.02;0.96;80;-992;26
33;0.40;-0.02;0.95;87;-1040;22
34;0.39;-0.02;0.96;119;-999;35
35;0.40;-0.02;0.96;97;-1025;47
36;0.40;-0.02;0.96;106;-1027;42
37;0.39;-0.02;0.96;86;-1146;27
38;0.40;-0.02;0.96;46;-1009;65
39;0.40;-0.02;0.95;98;-1029;65
40;0.40;-0.02;0.96;92;-1028;48
41;0.40;-0.02;0.96;93;-1044;42
42;0.40;-0.02;0.95;65;-972;55
43;0.39;-0.02;0.96;81;-1042;61
44;0.40;-0.02;0.95;67;-987;74
45;0.39;-0.02;0.96;104;-1028;27
46;0.40;-0.02;0.96;81;-1001;76
47;0.39;-0.02;0.96;80;-1014;35
48;0.40;-0.02;0.97;73;-1039;71
49;0.40;-0.02;0.96;95;-1002;41
50;0.39;-0.02;0.96;90;-1012;30
51;0.40;-0.02;0.96;89;-1004;12
52;0.39;-0.02;0.95;40;-1028;48
53;0.39;-0.02;0.96;69;-1016;42
54;0.38;-0.04;0.96;323;-8230;926
55;0.42;0.04;0.93;1684;-1058;6895
56;0.64;0.07;0.91;-32768;-8261;-12810
57;0.50;-0.20;0.82;11640;390;-798
58;0.55;-0.06;0.88;30740;-5894;3542
59;0.48;-0.10;0.87;-2210;1021;-432
60;0.46;-0.03;0.92;-11;-1269;-12
